Dallas
Zip Code,Index,Rank,County
"75237","99.6","5","Dallas"
"75210","98.3","5","Dallas"
"75227","96.8","5","Dallas"
"75216","96.7","5","Dallas"
"75241","96.4","5","Dallas"
"75212","95.8","5","Dallas"
"75217","95.8","5","Dallas"
"75247","93.4","5","Dallas"
"75215","93.3","5","Dallas"
"75228","91.3","5","Dallas"
"75149","90.7","5","Dallas"
"75236","90.3","5","Dallas"
"75042","90.1","5","Dallas"
"75243","90.0","5","Dallas"
"75224","89.7","5","Dallas"
"75041","89.5","5","Dallas"
"75231","89.5","5","Dallas"
"75180","88.8","5","Dallas"
"75203","88.6","5","Dallas"
"75051","87.3","5","Dallas"
"75232","86.3","5","Dallas"
"75150","85.6","5","Dallas"
"75246","85.6","5","Dallas"
"75134","84.9","5","Dallas"
"75211","84.3","5","Dallas"
"75223","84.2","5","Dallas"
"75172","82.5","4","Dallas"
"75233","82.2","4","Dallas"
"75253","79.4","4","Dallas"
"75061","78.8","4","Dallas"
"75146","78.7","4","Dallas"
"75116","75.4","4","Dallas"
"75220","73.7","4","Dallas"
"75141","72.6","4","Dallas"
"75043","71.5","4","Dallas"
"75240","68.4","4","Dallas"
"75050","66.8","4","Dallas"
"75249","64.9","4","Dallas"
"75060","63.5","3","Dallas"
"75038","61.7","3","Dallas"
"75115","59.9","3","Dallas"
"75159","59.1","3","Dallas"
"75040","59.0","3","Dallas"
"75235","56.3","3","Dallas"
"75137","56.1","3","Dallas"
"75062","55.6","3","Dallas"
"75238","54.9","3","Dallas"
"75254","51.7","3","Dallas"
"75044","50.2","3","Dallas"
"75104","48.8","3","Dallas"
"75052","46.1","3","Dallas"
"75006","45.6","3","Dallas"
"75208","45.2","3","Dallas"
"75226","41.4","3","Dallas"
"75081","35.1","2","Dallas"
"75181","31.0","2","Dallas"
"75251","29.0","2","Dallas"
"75234","28.9","2","Dallas"
"75206","25.2","2","Dallas"
"75204","24.2","2","Dallas"
"75001","22.1","2","Dallas"
"75063","21.3","2","Dallas"
"75219","19.1","1","Dallas"
"75080","18.5","1","Dallas"
"75088","18.2","1","Dallas"
"75214","17.2","1","Dallas"
"75218","17.1","1","Dallas"
"75089","15.4","1","Dallas"
"75207","15.2","1","Dallas"
"75248","14.6","1","Dallas"
"75202","13.8","1","Dallas"
"75229","13.7","1","Dallas"
"75230","13.4","1","Dallas"
"75244","13.0","1","Dallas"
"75048","12.1","1","Dallas"
"75201","11.3","1","Dallas"
"75039","10.6","1","Dallas"
"75209","10.0","1","Dallas"
"75019","7.7","1","Dallas"
"75182","6.1","1","Dallas"
"75205","6.0","1","Dallas"
"75225","4.4","1","Dallas"
