Dallas
Zip Code,Index,Rank,County
"75210","99.2","5","Dallas"
"75212","98.4","5","Dallas"
"75216","97.7","5","Dallas"
"75217","97.6","5","Dallas"
"75224","96.9","5","Dallas"
"75211","96.5","5","Dallas"
"75203","96.4","5","Dallas"
"75223","95.1","5","Dallas"
"75227","95.1","5","Dallas"
"75237","94.9","5","Dallas"
"75141","94.5","5","Dallas"
"75042","94.4","5","Dallas"
"75220","94.0","5","Dallas"
"75233","93.9","5","Dallas"
"75241","93.8","5","Dallas"
"75215","93.3","5","Dallas"
"75180","93.2","5","Dallas"
"75253","93.2","5","Dallas"
"75061","92.2","5","Dallas"
"75041","91.8","5","Dallas"
"75172","91.3","5","Dallas"
"75051","90.3","5","Dallas"
"75232","89.6","5","Dallas"
"75240","89.2","5","Dallas"
"75247","88.4","5","Dallas"
"75228","88.2","5","Dallas"
"75236","88.2","5","Dallas"
"75231","88.1","5","Dallas"
"75060","87.7","5","Dallas"
"75246","86.3","5","Dallas"
"75116","82.6","5","Dallas"
"75149","78.7","4","Dallas"
"75050","76.4","4","Dallas"
"75159","75.3","4","Dallas"
"75243","74.2","4","Dallas"
"75208","72.7","4","Dallas"
"75040","71.6","4","Dallas"
"75062","69.7","4","Dallas"
"75146","67.6","4","Dallas"
"75150","67.0","4","Dallas"
"75134","66.8","4","Dallas"
"75235","65.4","4","Dallas"
"75006","60.8","3","Dallas"
"75226","59.2","3","Dallas"
"75043","55.4","3","Dallas"
"75254","53.8","3","Dallas"
"75137","53.2","3","Dallas"
"75249","51.1","3","Dallas"
"75251","50.9","3","Dallas"
"75052","42.5","2","Dallas"
"75038","42.1","2","Dallas"
"75115","42.0","2","Dallas"
"75234","41.4","2","Dallas"
"75044","40.4","2","Dallas"
"75238","32.4","2","Dallas"
"75104","29.6","2","Dallas"
"75181","28.2","2","Dallas"
"75081","23.6","2","Dallas"
"75207","23.6","2","Dallas"
"75204","22.2","2","Dallas"
"75080","19.0","1","Dallas"
"75229","18.9","1","Dallas"
"75001","18.7","1","Dallas"
"75206","17.4","1","Dallas"
"75088","14.9","1","Dallas"
"75048","13.4","1","Dallas"
"75089","12.2","1","Dallas"
"75219","11.3","1","Dallas"
"75218","9.6","1","Dallas"
"75202","9.3","1","Dallas"
"75182","9.2","1","Dallas"
"75063","8.8","1","Dallas"
"75248","7.9","1","Dallas"
"75209","6.6","1","Dallas"
"75039","5.6","1","Dallas"
"75214","5.5","1","Dallas"
"75244","4.8","1","Dallas"
"75201","4.0","1","Dallas"
"75230","3.3","1","Dallas"
"75019","2.2","1","Dallas"
"75205","0.7","1","Dallas"
"75225","0.3","1","Dallas"
